id,customer_id,order_date,status,amount,updated_at
o_1001,c_101,2026-08-01,completed,125.50,2026-08-01 09:00:00
o_1002,c_102,2026-08-01,completed,45.00,2026-08-01 10:30:00
o_1003,c_101,2026-08-02,completed,89.90,2026-08-02 11:00:00
o_1004,c_103,2026-08-02,completed,210.00,2026-08-02 14:15:00
o_1005,c_104,2026-08-03,returned,60.00,2026-08-03 16:00:00
o_1006,c_105,2026-08-03,completed,150.00,2026-08-03 17:30:00
o_1007,c_101,2026-08-04,completed,75.25,2026-08-04 12:00:00
o_1008,c_102,2026-08-04,completed,110.00,2026-08-04 15:45:00
o_1009,c_103,2026-08-05,completed,320.00,2026-08-05 09:30:00
o_1010,c_105,2026-08-06,returned,95.00,2026-08-06 19:20:00
o_1011,c_106,2026-08-06,completed,100.00,2026-08-06 20:15:00
